SKKNI Code;SKKNI Name;Technology_Skills;count_occupatoins;count_skills;UMAP_1;UMAP_2
TIK.SEC0613;Information Security Analyst;Access software;21;60;6.948070526;6.09119606
TIK.SEC0613;Information Security Analyst;Administration software;12;60;6.063924789;6.369921207
TIK.SEC0613;Information Security Analyst;Analytical or scientific software;66;60;4.622932911;4.967670441
TIK.SEC0613;Information Security Analyst;Application server software;33;60;6.376904488;8.339910507
TIK.SEC0613;Information Security Analyst;Authentication server software;7;60;6.667496681;8.612740517
TIK.SEC0613;Information Security Analyst;Backup or archival software;20;60;7.674407959;5.566030979
TIK.SEC0613;Information Security Analyst;Business intelligence and data analysis software;39;60;4.622941017;4.611457825
TIK.SEC0613;Information Security Analyst;Cloud-based data access and sharing software;42;60;6.335213661;6.877230167
TIK.SEC0613;Information Security Analyst;Cloud-based management software;34;60;6.07843256;6.652602673
TIK.SEC0613;Information Security Analyst;Cloud-based protection or security software;8;60;6.458732128;7.263839245
TIK.SEC0613;Information Security Analyst;Clustering software;18;60;5.108061314;5.028034687
TIK.SEC0613;Information Security Analyst;Communications server software;25;60;7.002101421;8.25972271
TIK.SEC0613;Information Security Analyst;Configuration management software;29;60;5.518614769;5.996460438
TIK.SEC0613;Information Security Analyst;Content workflow software;27;60;5.687861443;5.835129738
TIK.SEC0613;Information Security Analyst;Customer relationship management CRM software;31;60;4.981754303;6.639668941
TIK.SEC0613;Information Security Analyst;Data base management system software;51;60;4.927266598;4.326683521
TIK.SEC0613;Information Security Analyst;Data base reporting software;32;60;5.069587231;4.159716129
TIK.SEC0613;Information Security Analyst;Data base user interface and query software;81;60;4.999883652;4.212739944
TIK.SEC0613;Information Security Analyst;Desktop communications software;22;60;7.280066013;7.986187935
TIK.SEC0613;Information Security Analyst;Development environment software;74;60;6.370265007;5.016391277
TIK.SEC0613;Information Security Analyst;Electronic mail software;71;60;6.941764832;7.528995037
TIK.SEC0613;Information Security Analyst;Enterprise application integration software;53;60;5.780583382;7.53935194
TIK.SEC0613;Information Security Analyst;Enterprise resource planning ERP software;64;60;5.250026226;7.075669765
TIK.SEC0613;Information Security Analyst;Enterprise system management software;23;60;5.703138351;6.966460705
TIK.SEC0613;Information Security Analyst;Expert system software;25;60;6.210202694;5.637793064
TIK.SEC0613;Information Security Analyst;File versioning software;35;60;7.453895569;5.735971451
TIK.SEC0613;Information Security Analyst;Filesystem software;11;60;7.806435585;6.136655807
TIK.SEC0613;Information Security Analyst;Financial analysis software;23;60;4.352446556;4.83182478
TIK.SEC0613;Information Security Analyst;Geographic information system;36;60;6.176881313;3.971498966
TIK.SEC0613;Information Security Analyst;Human resources software;16;60;5.231661797;6.623996735
TIK.SEC0613;Information Security Analyst;Industrial control software;29;60;6.421105862;6.191452503
TIK.SEC0613;Information Security Analyst;Information retrieval or search software;24;60;5.720858097;5.241194248
TIK.SEC0613;Information Security Analyst;Instant messaging software;16;60;7.250390053;7.665102005
TIK.SEC0613;Information Security Analyst;Internet directory services software;13;60;6.580571175;8.504705429
TIK.SEC0613;Information Security Analyst;Internet protocol IP multimedia subsystem software;17;60;7.213408947;8.112949371
TIK.SEC0613;Information Security Analyst;License management software;2;60;5.634813786;6.453565121
TIK.SEC0613;Information Security Analyst;Medical software;22;60;6.435572624;5.696507931
TIK.SEC0613;Information Security Analyst;Network monitoring software;26;60;8.611577988;7.965328693
TIK.SEC0613;Information Security Analyst;Network security and virtual private network VPN equipment software;24;60;8.606728554;7.737531662
TIK.SEC0613;Information Security Analyst;Network security or virtual private network VPN management software;17;60;8.534561157;7.851856709
TIK.SEC0613;Information Security Analyst;Object or component oriented development software;75;60;6.178874016;4.70263195
TIK.SEC0613;Information Security Analyst;Object oriented data base management software;28;60;5.273641109;4.260804176
TIK.SEC0613;Information Security Analyst;Office suite software;90;60;7.181672096;3.326147556
TIK.SEC0613;Information Security Analyst;Operating system software;75;60;7.542918205;6.186805248
TIK.SEC0613;Information Security Analyst;Point of sale POS software;3;60;4.705628395;6.731733799
TIK.SEC0613;Information Security Analyst;Portal server software;22;60;6.773877621;8.501649857
TIK.SEC0613;Information Security Analyst;Presentation software;88;60;7.164112568;3.636401892
TIK.SEC0613;Information Security Analyst;Process mapping and design software;56;60;6.220437527;3.830189705
TIK.SEC0613;Information Security Analyst;Program testing software;31;60;6.351449013;5.267430782
TIK.SEC0613;Information Security Analyst;Project management software;65;60;5.289157391;5.879869938
TIK.SEC0613;Information Security Analyst;Requirements analysis and system architecture software;25;60;4.783376217;5.434447765
TIK.SEC0613;Information Security Analyst;Risk management data and analysis software;3;60;4.379782677;4.845313072
TIK.SEC0613;Information Security Analyst;Spreadsheet software;90;60;6.952990532;3.496418953
TIK.SEC0613;Information Security Analyst;Storage networking software;21;60;8.600845337;7.2789011
TIK.SEC0613;Information Security Analyst;Switch or router software;8;60;8.425765038;7.943946362
TIK.SEC0613;Information Security Analyst;Transaction security and virus protection software;29;60;6.563827991;7.584819317
TIK.SEC0613;Information Security Analyst;Transaction server software;23;60;6.661155224;8.231013298
TIK.SEC0613;Information Security Analyst;Web page creation and editing software;40;60;7.055449486;4.377140999
TIK.SEC0613;Information Security Analyst;Web platform development software;58;60;6.668569088;5.207745552
TIK.SEC0613;Information Security Analyst;Word processing software;83;60;7.277560711;3.990605593
TIK.DEV0708;Software Engineer;Access software;21;66;6.948070526;6.09119606
TIK.DEV0708;Software Engineer;Administration software;12;66;6.063924789;6.369921207
TIK.DEV0708;Software Engineer;Analytical or scientific software;66;66;4.622932911;4.967670441
TIK.DEV0708;Software Engineer;Application server software;33;66;6.376904488;8.339910507
TIK.DEV0708;Software Engineer;Authentication server software;7;66;6.667496681;8.612740517
TIK.DEV0708;Software Engineer;Backup or archival software;20;66;7.674407959;5.566030979
TIK.DEV0708;Software Engineer;Business intelligence and data analysis software;39;66;4.622941017;4.611457825
TIK.DEV0708;Software Engineer;Cloud-based data access and sharing software;42;66;6.335213661;6.877230167
TIK.DEV0708;Software Engineer;Cloud-based management software;34;66;6.07843256;6.652602673
TIK.DEV0708;Software Engineer;Clustering software;18;66;5.108061314;5.028034687
TIK.DEV0708;Software Engineer;Communications server software;25;66;7.002101421;8.25972271
TIK.DEV0708;Software Engineer;Computer based training software;15;66;6.991323948;4.820628643
TIK.DEV0708;Software Engineer;Configuration management software;29;66;5.518614769;5.996460438
TIK.DEV0708;Software Engineer;Content workflow software;27;66;5.687861443;5.835129738
TIK.DEV0708;Software Engineer;Customer relationship management CRM software;31;66;4.981754303;6.639668941
TIK.DEV0708;Software Engineer;Data base management system software;51;66;4.927266598;4.326683521
TIK.DEV0708;Software Engineer;Data base reporting software;32;66;5.069587231;4.159716129
TIK.DEV0708;Software Engineer;Data base user interface and query software;81;66;4.999883652;4.212739944
TIK.DEV0708;Software Engineer;Data mining software;25;66;4.901015759;4.634778023
TIK.DEV0708;Software Engineer;Desktop communications software;22;66;7.280066013;7.986187935
TIK.DEV0708;Software Engineer;Desktop publishing software;31;66;7.245614529;3.924886227
TIK.DEV0708;Software Engineer;Development environment software;74;66;6.370265007;5.016391277
TIK.DEV0708;Software Engineer;Device drivers or system software;4;66;8.115627289;6.289714813
TIK.DEV0708;Software Engineer;Document management software;42;66;5.8654356;5.6441679
TIK.DEV0708;Software Engineer;Electronic mail software;71;66;6.941764832;7.528995037
TIK.DEV0708;Software Engineer;Enterprise application integration software;53;66;5.780583382;7.53935194
TIK.DEV0708;Software Engineer;Enterprise resource planning ERP software;64;66;5.250026226;7.075669765
TIK.DEV0708;Software Engineer;Enterprise system management software;23;66;5.703138351;6.966460705
TIK.DEV0708;Software Engineer;Expert system software;25;66;6.210202694;5.637793064
TIK.DEV0708;Software Engineer;File versioning software;35;66;7.453895569;5.735971451
TIK.DEV0708;Software Engineer;Filesystem software;11;66;7.806435585;6.136655807
TIK.DEV0708;Software Engineer;Financial analysis software;23;66;4.352446556;4.83182478
TIK.DEV0708;Software Engineer;Graphical user interface development software;23;66;6.298155308;4.312372684
TIK.DEV0708;Software Engineer;Graphics or photo imaging software;54;66;7.293769836;4.137690544
TIK.DEV0708;Software Engineer;Information retrieval or search software;24;66;5.720858097;5.241194248
TIK.DEV0708;Software Engineer;Instant messaging software;16;66;7.250390053;7.665102005
TIK.DEV0708;Software Engineer;Internet directory services software;13;66;6.580571175;8.504705429
TIK.DEV0708;Software Engineer;Internet protocol IP multimedia subsystem software;17;66;7.213408947;8.112949371
TIK.DEV0708;Software Engineer;Map creation software;11;66;6.436167717;3.695862055
TIK.DEV0708;Software Engineer;Metadata management software;21;66;5.462931633;5.624073505
TIK.DEV0708;Software Engineer;Network conferencing software;10;66;7.800973415;7.817759514
TIK.DEV0708;Software Engineer;Network monitoring software;26;66;8.611577988;7.965328693
TIK.DEV0708;Software Engineer;Network operation system software;4;66;8.538809776;7.454305172
TIK.DEV0708;Software Engineer;Network security and virtual private network VPN equipment software;24;66;8.606728554;7.737531662
TIK.DEV0708;Software Engineer;Object or component oriented development software;75;66;6.178874016;4.70263195
TIK.DEV0708;Software Engineer;Object oriented data base management software;28;66;5.273641109;4.260804176
TIK.DEV0708;Software Engineer;Office suite software;90;66;7.181672096;3.326147556
TIK.DEV0708;Software Engineer;Operating system software;75;66;7.542918205;6.186805248
TIK.DEV0708;Software Engineer;Platform interconnectivity software;9;66;7.877929211;8.098153114
TIK.DEV0708;Software Engineer;Portal server software;22;66;6.773877621;8.501649857
TIK.DEV0708;Software Engineer;Presentation software;88;66;7.164112568;3.636401892
TIK.DEV0708;Software Engineer;Process mapping and design software;56;66;6.220437527;3.830189705
TIK.DEV0708;Software Engineer;Program testing software;31;66;6.351449013;5.267430782
TIK.DEV0708;Software Engineer;Project management software;65;66;5.289157391;5.879869938
TIK.DEV0708;Software Engineer;Requirements analysis and system architecture software;25;66;4.783376217;5.434447765
TIK.DEV0708;Software Engineer;Sales and marketing software;18;66;4.755867958;6.813591957
TIK.DEV0708;Software Engineer;Spreadsheet software;90;66;6.952990532;3.496418953
TIK.DEV0708;Software Engineer;Storage networking software;21;66;8.600845337;7.2789011
TIK.DEV0708;Software Engineer;Switch or router software;8;66;8.425765038;7.943946362
TIK.DEV0708;Software Engineer;Transaction security and virus protection software;29;66;6.563827991;7.584819317
TIK.DEV0708;Software Engineer;Transaction server software;23;66;6.661155224;8.231013298
TIK.DEV0708;Software Engineer;Video conferencing software;20;66;7.348774433;7.428820133
TIK.DEV0708;Software Engineer;Video creation and editing software;36;66;7.724330902;4.266777039
TIK.DEV0708;Software Engineer;Web page creation and editing software;40;66;7.055449486;4.377140999
TIK.DEV0708;Software Engineer;Web platform development software;58;66;6.668569088;5.207745552
TIK.DEV0708;Software Engineer;Word processing software;83;66;7.277560711;3.990605593
TIK.DEV0404;Information Management Assistant;Analytical or scientific software;66;36;4.622932911;4.967670441
TIK.DEV0404;Information Management Assistant;Application server software;33;36;6.376904488;8.339910507
TIK.DEV0404;Information Management Assistant;Cloud-based data access and sharing software;42;36;6.335213661;6.877230167
TIK.DEV0404;Information Management Assistant;Cloud-based management software;34;36;6.07843256;6.652602673
TIK.DEV0404;Information Management Assistant;Computer aided design CAD software;50;36;6.640730381;4.039618015
TIK.DEV0404;Information Management Assistant;Content workflow software;27;36;5.687861443;5.835129738
TIK.DEV0404;Information Management Assistant;Data base management system software;51;36;4.927266598;4.326683521
TIK.DEV0404;Information Management Assistant;Data base reporting software;32;36;5.069587231;4.159716129
TIK.DEV0404;Information Management Assistant;Data base user interface and query software;81;36;4.999883652;4.212739944
TIK.DEV0404;Information Management Assistant;Data compression software;2;36;7.34368372;5.417812347
TIK.DEV0404;Information Management Assistant;Data mining software;25;36;4.901015759;4.634778023
TIK.DEV0404;Information Management Assistant;Desktop communications software;22;36;7.280066013;7.986187935
TIK.DEV0404;Information Management Assistant;Desktop publishing software;31;36;7.245614529;3.924886227
TIK.DEV0404;Information Management Assistant;Development environment software;74;36;6.370265007;5.016391277
TIK.DEV0404;Information Management Assistant;Document management software;42;36;5.8654356;5.6441679
TIK.DEV0404;Information Management Assistant;Electronic mail software;71;36;6.941764832;7.528995037
