No;Area Fungsi Kunci;Area Fungsi Kunci_eng;Area Fungsi Mayor;Sub Area Fungsi Mayor;Kode Okupasi;Okupasi;Level;Pemutakhiran Terakhir;Status
1;TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE);IT Governance;Belum ada;Belum ada;TIK.ITG0901;PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER);9;17 Januari 2025;Ada UK dari selain SKK
2;TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE);IT Governance;Belum ada;Belum ada;TIK.ITG0902;PEMIMPIN KEPATUHAN (CHIEF COMPLIANCE OFFICER (CCO));9;17 Januari 2025;Semua UK ada di SKK
3;TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE);IT Governance;Belum ada;Belum ada;TIK.ITG0804;KEPALA PORTOFOLIO PROYEK TI (LEAD IT PROJECT PORTFOLIO);8;17 Januari 2025;Semua UK ada di SKK
4;TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE);IT Governance;Belum ada;Belum ada;TIK.ITG0805;SPESIALIS PENASIHAT TI (SPECIALIST IT ADVISOR);8;17 Januari 2025;Semua UK tidak ada di SKK
5;TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE);IT Governance;Belum ada;Belum ada;TIK.ITG0806;KEPALA KONSULTAN TI (LEAD IT CONSULTANT);8;17 Januari 2025;Semua UK tidak ada di SKK
6;TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE);IT Governance;Belum ada;Belum ada;TIK.ITG0801;KEPALA ARSITEKTUR PERUSAHAAN (LEAD ENTERPRISE ARCHITECTURE);8;24 Januari 2025;Ada UK dari selain SKK
7;TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE);IT Governance;Belum ada;Belum ada;TIK.ITG0803;KEPALA MANAJEMEN PROGRAM (LEAD PROGRAM MANAGEMENT);8;5 Mei 2025;Semua UK ada di SKK
8;TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE);IT Governance;Belum ada;Belum ada;TIK.ITG0807;KEPALA MANAJEMEN SISTEM (LEAD SYSTEMS MANAGEMENT);8;27 Februari 2025;Ada UK dari selain SKK
9;TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE);IT Governance;Belum ada;Belum ada;TIK.ITG0802;KEPALA PENASIHAT TI (LEAD IT ADVISOR);8;1 Agustus 2025;Semua UK tidak ada di SKK
10;TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE);IT Governance;Belum ada;Belum ada;TIK.ITG0701;MANAJER PEMULIHAN BENCANA (DISASTER RECOVERY MANAGER);7;17 Januari 2025;Semua UK ada di SKK
11;TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE);IT Governance;Belum ada;Belum ada;TIK.ITG0702;MANAJER PEMULIHAN BENCANA DAN KELANGSUNGAN BISNIS (DISASTER RECOVERY AND BUSINESS CONTINUITY MANAGER);7;17 Januari 2025;UK dicabut dan tidak berlaku
12;TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE);IT Governance;Belum ada;Belum ada;TIK.ITG0703;MANAJER PROYEK TIK  (ICT PROJECT MANAGER);7;31 Januari 2025;Semua UK ada di SKK
13;TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE);IT Governance;Belum ada;Belum ada;TIK.ITG0704;MANAJER ARSITEKTUR PERUSAHAAN (ENTERPRISE ARCHITECTURE MANAGER);7;31 Januari 2025;Semua UK ada di SKK
14;TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE);IT Governance;Belum ada;Belum ada;TIK.ITG0705;PERENCANA TRANSFORMASI DIGITAL 4.0 (DIGITAL TRANSFORMATION PLANNER 4.0);7;11 Maret 2025;Semua UK ada di SKK
15;TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE);IT Governance;Belum ada;Belum ada;TIK.ITG0706;MANAJER KONSULTAN TI (IT CONSULTANT MANAGER);7;31 Januari 2025;Semua UK tidak ada di SKK
16;TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE);IT Governance;Belum ada;Belum ada;TIK.ITG0707;MANAJER AUDIT TI (IT AUDIT MANAGER);7;11 Maret 2025;Semua UK ada di SKK
17;TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE);IT Governance;Belum ada;Belum ada;TIK.ITG0708;PENJAMIN KUALITAS TI (IT QUALITY ASSURANCE);7;4 Agustus 2025;UK dicabut dan tidak berlaku
18;TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE);IT Governance;Belum ada;Belum ada;TIK.ITG0709;MANAJER PENJAMINAN KUALITAS (QUALITY ASSURANCE MANAGER);7;31 Januari 2025;UK dicabut dan tidak berlaku
19;TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE);IT Governance;Belum ada;Belum ada;TIK.ITG0601;AHLI METODE SCRUM (SCRUM MASTER);6;22 Januari 2025;Ada UK dari selain SKK
20;TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE);IT Governance;Belum ada;Belum ada;TIK.ITG0602;PEMILIK PRODUK (PRODUCT OWNER);6;22 Januari 2025;Ada UK dari selain SKK
21;TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE);IT Governance;Belum ada;Belum ada;TIK.ITG0603;ARSITEK PERUSAHAAN (ENTERPRISE ARCHITECT);6;11 Maret 2025;Semua UK ada di SKK
22;TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE);IT Governance;Belum ada;Belum ada;TIK.ITG0604;ARSITEK TEKNOLOGI (TECHNOLOGY ARCHITECT);6;17 Januari 2025;Semua UK ada di SKK
23;TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE);IT Governance;Belum ada;Belum ada;TIK.ITG0605;KONSULTAN TI (IT CONSULTANT);6;17 Januari 2025;Semua UK tidak ada di SKK
24;TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE);IT Governance;Belum ada;Belum ada;TIK.ITG0606;AUDITOR TI (IT AUDITOR);6;17 Januari 2025;Semua UK ada di SKK
25;TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE);IT Governance;Belum ada;Belum ada;TIK.ITG0607;SUPERVISOR AUDIT TI (IT AUDIT SUPERVISOR);6;17 Januari 2025;Semua UK ada di SKK
26;TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE);IT Governance;Belum ada;Belum ada;TIK.ITG0501;PERENCANA KAPASITAS MUDA (ASSOCIATE CAPACITY PLANNER);5;17 Januari 2025;Ada UK dari selain SKK
27;TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE);IT Governance;Belum ada;Belum ada;TIK.ITG0502;ARSITEK PERUSAHAAN MUDA (ASSOCIATE ENTERPRISE ARCHITECT);5;31 Januari 2025;Semua UK ada di SKK
28;TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE);IT Governance;Belum ada;Belum ada;TIK.ITG0503;KONSULTAN TI MUDA (ASSOCIATE IT CONSULTANT);5;27 Februari 2025;Ada UK dari selain SKK
29;TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE);IT Governance;Belum ada;Belum ada;TIK.ITG0504;ASISTEN AUDIT TI (IT AUDIT ASSISTANT);5;17 Januari 2025;Semua UK ada di SKK
30;TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE);IT Governance;Belum ada;Belum ada;TIK.ITG0505;PENGUJI PENJAMINAN KUALITAS PERANGKAT LUNAK MUDA (ASSOCIATE SOFTWARE QA TESTER);5;27 Februari 2025;Ada UK dari selain SKK
31;TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE);IT Governance;Belum ada;Belum ada;TIK.ITG0401;ASISTEN PENJAMINAN KUALITAS (QA ASSISTANT);4;27 Februari 2025;Ada UK dari selain SKK
32;TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE);IT Governance;Belum ada;Belum ada;TIK.ITG0402;ASISTEN SISTEM INFORMASI (INFORMATION SYSTEMS ASSISTANT);4;27 Februari 2025;Ada UK dari selain SKK
