Kode_Okupasi,Okupasi,Kode_Unit_Kompetensi,Judul_Unit_Kompetensi,Status_UK,Referensi
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),BSBMGT608C,Manage Innovation and Continuous Improvement (Mengelola Inovasi dan Peningkatan Berkelanjutan),Berlaku,Nomor 22 Tahun 2019
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),ICADBS602A,Develop a Knowledge Management Strategy (Mengembangkan Strategi Manajemen Pengetahuan),Berlaku,Nomor 22 Tahun 2019
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),ICAICT605A,Implement a knowledge management strategy,,ICAICT
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),ICAICT609A,Lead the evaluation and implementation of current industry-specific technologies,,ICAICT
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),ICANWK601A,Design and implement a security system,,ICANWK
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),ICANWK616A,"Manage security, privacy and compliance of cloud service deployment",,ICANWK
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),ICAPMG607A,Manage and control IT project risks,,ICAPMG
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),ICASAD602A,Conduct knowledge audits,,ICASAD
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),ICASAD607A,Manage assessment and validation of IT solutions,Berlaku,
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),ICASAS601A,Implement change-management processes,,ICASAS
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),ICTSUS6233A,Integrate sustainability in ICT planning and design projects,,ICTSUS
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),ICTSUS6234A,Establish a business case for sustainability and competitive advantage in ICT projects,,ICTSUS
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),ICTTEN5204A,Produce technical solutions from business specifications,,ICTTEN
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),ICTTEN6206A,Produce an ICT network architecture design,,ICTTEN
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),J.612000.029.01,Mengorganisasi dan mengatur proyek perencanaan jaringan terpadu,Berlaku,Nomor 165 Tahun 2014
